"Cafe","Indice_0_100"
"908",61.1
"945",61.1
"760",61.09
"889",61.09
"1031",61.04
"696",61
"948",61
"697",60.98
"845",60.98
"976",60.98
"819",60.94
"714",60.93
"909",60.91
"726",60.89
"979",60.89
"936",60.88
"703",60.86
"724",60.86
"891",60.86
"937",60.86
"727",60.85
"734",60.77
"729",60.74
"899",60.74
"728",60.73
"887",60.73
"723",60.72
"725",60.72
"906",60.72
"854",60.68
"862",60.68
"907",60.67
"931",60.64
"756",60.63
"22",60.62
"718",60.61
"935",60.59
"840",60.57
"722",60.56
"873",60.55
"721",60.53
"849",60.53
"1035",60.53
"965",60.51
"1130",60.51
"900",60.5
"659",60.49
"21",60.45
"747",60.45
"829",60.41
"774",60.4
"1003",60.37
"969",60.35
"801",60.31
"753",60.28
"972",60.25
"928",60.23
"1021",60.22
"786",60.2
"888",60.19
"804",60.16
"852",60.13
"875",60.1
"866",60.08
"984",60.05
"772",60.02
"779",60
"780",60
"958",59.98
"959",59.98
"1016",59.92
"797",59.91
"803",59.91
"914",59.9
"768",59.89
"901",59.89
"923",59.88
"930",59.87
"1071",59.87
"925",59.85
"939",59.85
"915",59.84
"1005",59.82
"1009",59.81
"776",59.78
"777",59.77
"982",59.77
"951",59.71
"1028",59.67
"817",59.62
"792",59.61
"960",59.6
"926",59.59
"917",59.55
"1014",59.52
"1081",59.52
"996",59.5
"943",59.49
"816",59.47
"824",59.46
"992",59.45
"962",59.38
"1020",59.38
"796",59.37
"942",59.37
"1065",59.37
"823",59.29
"964",59.28
"857",59.26
"787",59.24
"757",59.23
"932",59.21
"818",59.2
"820",59.18
"837",59.14
"25",59.12
"858",59.09
"929",59.07
"1007",59
"1043",58.99
"853",58.97
"947",58.97
"1217",58.95
"1095",58.94
"877",58.91
"1010",58.91
"856",58.88
"946",58.81
"878",58.8
"846",58.76
"968",58.72
"1027",58.71
"1088",58.7
"967",58.68
"1013",58.67
"1001",58.66
"1039",58.65
"870",58.61
"1096",58.59
"833",58.58
"884",58.57
"922",58.56
"892",58.55
"1074",58.55
"995",58.54
"871",58.53
"859",58.51
"970",58.51
"997",58.49
"855",58.48
"973",58.46
"437",58.45
"1036",58.45
"1051",58.45
"911",58.41
"1019",58.37
"1029",58.32
"918",58.27
"1026",58.26
"1049",58.23
"978",58.2
"883",58.14
"895",58.14
"896",58.13
"913",58.12
"921",58.09
"1012",58.05
"916",58.03
"986",58.01
"1048",58
"869",57.96
"851",57.95
"893",57.93
"998",57.93
"894",57.92
"1110",57.84
"1033",57.81
"902",57.79
"1168",57.79
"956",57.72
"924",57.66
"1079",57.66
"1066",57.64
"974",57.62
"934",57.59
"933",57.58
"1038",57.57
"1058",57.56
"1030",57.53
"1032",57.49
"920",57.48
"1008",57.47
"1111",57.47
"1047",57.46
"941",57.44
"1089",57.42
"1044",57.39
"1054",57.38
"1056",57.38
"957",57.37
"1042",57.35
"1104",57.29
"919",57.22
"1178",57.19
"904",57.17
"1092",57.13
"983",57.12
"955",57.09
"944",57.07
"952",57.06
"1055",57.04
"971",57
