"","Species","CountryOrigin","FragranceAroma","Flavor","Aftertaste","SaltAcid","Mouthfeel","Balance","BitterSweet","UniformCup","CleanCup","CupperPoints","qualityscore","clust"
"156","Arabica","Japan",7.75,7.75,7.75,7.42,7.83,10,8.08,10,10,8.08,84.67,"5"
"157","Arabica","Costa Rica",8.08,7.75,7.67,7.83,7.92,10,7.5,10,10,7.92,84.67,"5"
"158","Arabica","Guatemala",7.75,7.83,7.58,8,7.75,10,7.92,10,10,7.83,84.67,"6"
"159","Arabica","Costa Rica",8.17,8,7.83,7.17,7.75,10,7.83,10,10,7.92,84.67,"5"
"160","Arabica","Ethiopia",8.08,7.83,7.75,7.83,7.67,10,7.58,10,10,7.92,84.67,"6"
"161","Arabica","Costa Rica",7.67,7.58,7.75,7.75,8.58,10,7.67,10,10,7.67,84.67,"5"
"162","Arabica","Costa Rica",8,7.58,7.83,7.75,7.75,10,7.75,10,10,8,84.67,"5"
"163","Arabica","Costa Rica",8.08,7.83,7.75,7.83,8,9.33,7.92,10,10,7.92,84.67,"5"
"164","Arabica","Taiwan",8,7.92,7.75,7.75,7.75,10,7.75,10,10,7.75,84.67,"5"
"165","Arabica","Colombia",7.75,7.83,7.75,7.83,7.83,10,7.75,10,10,7.92,84.67,"5"
"166","Arabica","Kenya",7.75,7.92,7.83,8,7.75,10,7.58,10,10,7.83,84.67,"6"
"167","Arabica","Guatemala",8,7.83,7.67,7.83,8,10,7.67,10,10,7.67,84.67,"6"
"168","Arabica","Guatemala",7.67,7.83,7.67,8,7.83,10,7.67,10,10,8,84.67,"6"
"169","Arabica","Mexico",7.83,7.58,7.67,7.92,7.83,10,7.92,10,10,7.92,84.67,"5"
"170","Arabica","Uganda",7.92,7.83,7.75,7.92,7.75,10,7.67,10,10,7.83,84.67,"6"
"171","Arabica","Peru",7.67,7.83,7.75,7.75,7.83,10,7.92,10,10,7.92,84.67,"6"
"172","Arabica","Ethiopia",7.42,7.75,7.75,8,7.92,10,8,10,10,7.83,84.67,"6"
"173","Arabica","Kenya",7.92,7.75,7.83,7.75,7.92,10,7.58,10,10,7.83,84.58,"6"
"174","Arabica","Colombia",7.83,7.67,7.58,7.92,7.83,10,7.67,10,10,8.08,84.58,"5"
"175","Arabica","Colombia",7.92,7.83,7.58,8,7.67,10,7.83,10,10,7.75,84.58,"5"
"176","Arabica","Kenya",7.83,7.83,7.83,7.75,7.83,10,7.58,10,10,7.92,84.58,"6"
"177","Arabica","Guatemala",7.75,7.83,7.67,7.92,7.83,10,7.75,10,10,7.83,84.58,"6"
"178","Arabica","Guatemala",8,7.92,7.67,7.58,7.67,10,7.58,10,10,8.17,84.58,"6"
"179","Arabica","Colombia",7.67,7.67,7.58,7.75,8.5,10,7.58,10,10,7.83,84.58,"5"
"180","Arabica","Colombia",7.75,7.75,7.83,7.75,8,10,7.58,10,10,7.92,84.58,"5"
"181","Arabica","Kenya",7.75,7.75,7.75,8.08,7.75,10,7.75,10,10,7.75,84.58,"6"
"182","Arabica","Colombia",7.67,7.83,7.83,8,7.92,10,7.58,10,10,7.75,84.58,"5"
